Code,Semester,Average
ACT350,Fall 2021,B-
APM462,Fall 2021,C+
APS110,Fall 2021,B
APS111,Fall 2021,B
AST101,Fall 2021,B+
AST221,Fall 2021,B-
BCH210,Fall 2021,B
BCH428,Fall 2021,A-
BIO120,Fall 2021,B
BIO207,Winter 2022,B+
BIOA02,Winter 2022,B-
CSC301,Winter 2022,B
CSC309,Winter 2022,B-
CSC343,Winter 2022,B+
CSC358,Winter 2022,B+
CSCA08,Winter 2022,C
CSCC11,Winter 2022,B-
CSCD03,Winter 2022,A-
CHM242,Winter 2022,D
CHM243,Winter 2022,C
CHM311,Winter 2022,B-
CHM333,Winter 2022,B-
CHMA11,Winter 2022,B-
JCP221,Winter 2022,B
LIN205,Winter 2022,B+
MAT157,Winter 2022,C+
MAT202,Winter 2022,C
MAT244,Winter 2022,C+
MATA22,Winter 2022,C
MATA35,Winter 2022,C
MATA37,Winter 2022,C
MGEA06,Winter 2022,C+
PHYA22,Winter 2022,C
PSYA02,Winter 2022,B-
CSCC37,Fall 2022,B-
CSCC46,Fall 2022,B+
CSCD03,Fall 2022,B+
CSCD18,Fall 2022,B
PSYB32,Fall 2022,B-
BIO230,Fall 2021,B
BPM335,Fall 2021,B+
CHM135,Fall 2021,B
CHM220,Fall 2021,B+
CHM327,Fall 2021,A-
CHM410,Fall 2021,B
CIV100,Fall 2021,C+
CLA160,Fall 2021,B
CLA204,Fall 2021,B+
CSB328,Fall 2021,B+
CSB349,Fall 2021,A-
CSC108,Fall 2021,B
CSC196,Fall 2021,B
CSC207,Fall 2021,A-
CSC236,Fall 2021,A+
CSC263,Fall 2021,C+
CSC300,Fall 2021,A-
CSE240,Fall 2021,B-
DHU235,Fall 2021,B
ECO101,Fall 2021,C+
ECO358,Fall 2021,B-
ENG289,Fall 2021,B
ENT200,Fall 2021,B-
ENV100,Fall 2021,B-
ENV221,Fall 2021,C+
ENV440,Fall 2021,B
FAH199,Fall 2021,A
FAH231,Fall 2021,B-
FAH245,Fall 2021,B
FAH246,Fall 2021,B
FAH272,Fall 2021,B
FAH354,Fall 2021,B-
GGR107,Fall 2021,B
GGR251,Fall 2021,C+
HIS230,Fall 2021,B+
HIS264,Fall 2021,C+
HIS369,Fall 2021,B+
HMB265,Fall 2021,C+
HMB301,Fall 2021,B+
HMB302,Fall 2021,B+
HMB303,Fall 2021,B+
HMB430,Fall 2021,B+
HMB450,Fall 2021,B+
HPS100,Fall 2021,B
HPS110,Fall 2021,B+
HPS300,Fall 2021,B-
HPS322,Fall 2021,B-
HST209,Fall 2021,B
HST440,Fall 2021,A-
IMM250,Fall 2021,B+
IMM340,Fall 2021,B+
IMM429,Fall 2021,A-
IMM435,Fall 2021,A-
JFP450,Fall 2021,B+
JLP374,Fall 2021,B
JNH350,Fall 2021,B
LIN101,Fall 2021,C+
MAT135,Fall 2021,B-
MAT138,Fall 2021,B
MAT186,Fall 2021,B
MAT188,Fall 2021,B-
MAT223,Fall 2021,B
MAT224,Fall 2021,B+
MAT231,Fall 2021,A-
MAT240,Fall 2021,B-
MAT244,Fall 2021,B
MAT246,Fall 2021,B
MAT301,Fall 2021,B-
MAT334,Fall 2021,B-
MAT337,Fall 2021,C-
MAT354,Fall 2021,B
MAT457,Fall 2021,B+
MCS223,Fall 2021,B
MGY277,Fall 2021,A-
MGY340,Fall 2021,B+
MIE236,Fall 2021,B+
MIE242,Fall 2021,B
MIE250,Fall 2021,C+
MIE256,Fall 2021,C+
MST210,Fall 2021,B
NEW103,Fall 2021,B+
NFS284,Fall 2021,B+
NFS387,Fall 2021,B+
PCL302,Fall 2021,B
PCL362,Fall 2021,C
PCL470,Fall 2021,B
PHL233,Fall 2021,C+
PHL245,Fall 2021,B-
